Id,IdEntidade,Idproduto,CodigoProdutoFornecedor,IdPosto
298A72B8-0D97-4D90-931F-A36C01125F9B,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,1E709465-DA98-4279-8881-6B3CBB6C4E7D,004608,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
27118F55-F72E-4C1E-84B5-A36C01125FA2,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,85424415-4754-4CA9-824D-9A073A6F250D,004597,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
5B1AEEC0-58D7-4C7E-BD30-A36C01125FA8,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,45B76402-8E77-49B2-B069-F8B87CD07A9A,010392,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
1AA79AA3-559C-478B-8637-A36C01125FB4,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,86A3D398-27FB-4FD7-AD36-3C1A9470D52B,006914,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
B593B8A5-1C36-42BF-AF00-A36C01125FBA,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,DDD1C02D-BE6E-4116-98CC-42F1948BBEA3,000329,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
8B4D2530-3FC3-49A5-9B1A-A36C01125FC1,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,7E6755B5-5E6A-4547-A83B-876BABC54745,000154,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
726D1B8E-E53B-4C8D-9F6E-A36C01125FC7,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,278AC0B6-B074-4076-A6FF-8A7F92888BAC,004116,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
398E97AD-DB3A-479C-A587-A37000B18931,BB33A748-9787-43FA-BE5A-946ED04ADF4A,4524655F-645E-47D7-BFC9-AB197F5B82F0,071526001,,
2CCE898D-5061-4EBB-94CF-A37000B18939,BB33A748-9787-43FA-BE5A-946ED04ADF4A,36A9E7FB-6F08-4B06-9652-B234B324F663,070314006,,
090D32DC-304C-42F0-9832-A37000B18940,BB33A748-9787-43FA-BE5A-946ED04ADF4A,0C0EC5A8-B87F-4D47-87E5-A34801173AA6,082805020,,
BF9D4A3A-0465-48A0-B797-A37000B18946,BB33A748-9787-43FA-BE5A-946ED04ADF4A,987EAE1C-6403-4AED-99B0-144AA13D8095,082454018,,
D2B41E93-3016-4897-AADD-A37000B1894C,BB33A748-9787-43FA-BE5A-946ED04ADF4A,7760C34D-D6D1-4A33-9066-885CD5D87A4B,082550020,,
699726CE-45E6-4454-AA7D-A37000B18952,BB33A748-9787-43FA-BE5A-946ED04ADF4A,B1D8D22D-EC4E-410D-AB24-C5FA53E9772D,082552020,,
5AF9E3AF-428A-46D7-891C-A37000B18959,BB33A748-9787-43FA-BE5A-946ED04ADF4A,F55356D2-E4F7-4BC5-B03D-4E02E158D49E,080116030,,
2F3BBD23-24E7-45EC-96D4-A37000B1895F,BB33A748-9787-43FA-BE5A-946ED04ADF4A,65D1517E-8B56-423B-95B9-85A1325ED302,082551020,,
7420EA58-CE8D-4512-840A-A37000B18965,BB33A748-9787-43FA-BE5A-946ED04ADF4A,D2306EC9-147B-4932-B4B6-86C2475F377A,080457030,,
1BD9BCFA-38D3-4F24-B40F-A37000B1896B,BB33A748-9787-43FA-BE5A-946ED04ADF4A,3770F681-CA12-4336-9935-C100A502A2B6,082645004,,
72716EA8-B6D0-4FA4-A554-A37000B18972,BB33A748-9787-43FA-BE5A-946ED04ADF4A,B54EA337-BBFB-4164-888A-7DF6AEE5405C,080477004,,
DF582369-C96C-48E6-A5A1-A37000B18979,BB33A748-9787-43FA-BE5A-946ED04ADF4A,8A2D1DEA-BC72-4746-B6C5-66EC2AAE7D85,080479004,,
3C3B978C-1AE8-4F16-A33D-A37000B18980,BB33A748-9787-43FA-BE5A-946ED04ADF4A,E0DD599F-79F4-4DED-8B21-4820945B60DC,080516003,,
96CB78DF-65A1-4F24-A62F-A371009E7D1F,95AE3C0E-D7DC-411E-B778-786EE9CD022C,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0201,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
CF0C3730-5AE1-4E7D-B822-A37100B64A7A,3B62C071-4ABE-4674-89FD-56CE74E97C55,84E154A9-EB8F-4E36-A494-DB84FC8E5684,RCLF00011,,
9C5781C1-7E21-498B-B937-A373009D6BC5,BEF292BE-270B-4B80-94BB-7E172FA40EED,24292EDA-9AC3-4812-B541-18C9B90AA31B,0010644,,
4B0F9984-7049-4CC2-BACB-A373009D6BD1,BEF292BE-270B-4B80-94BB-7E172FA40EED,DA26919D-A257-4FDB-A1FB-6CE1582EE70F,0010028,,
11174DD9-D374-4EFA-BECA-A373009D6BE1,BEF292BE-270B-4B80-94BB-7E172FA40EED,752E0854-5ADA-4B25-8922-2B9FFAEA77FB,0009087,,
423D3A4D-317A-4F66-8A15-A373009D6BE7,BEF292BE-270B-4B80-94BB-7E172FA40EED,8A880F7B-ADE1-46FA-99AE-3C83AE7997B5,0009084,,
B89C3040-8932-4541-8105-A373009DE456,BEF292BE-270B-4B80-94BB-7E172FA40EED,8D05C7D0-0BE7-496A-A657-F0EE37127BE5,0008411,,
9B16E39C-6CB4-4A00-AAE8-A373009DE468,BEF292BE-270B-4B80-94BB-7E172FA40EED,82A06B41-AE48-40B8-9873-61BC0FB36C1A,0007980,,
480CDD51-3D11-4888-B9B3-A373009DE473,BEF292BE-270B-4B80-94BB-7E172FA40EED,0C3F716E-DFDE-434A-A644-DAF8895C9C01,0002655,,
598BC5B3-BB01-4643-863F-A373009DE479,BEF292BE-270B-4B80-94BB-7E172FA40EED,8CC6D950-5B34-4FCF-B4B0-CE036D0997D8,0002350,,
03D5685A-02B3-4BBB-871E-A3730105EC9A,474FBD7E-005A-4AA3-A308-A2ED00F4C563,D87AB6A0-1EC9-4AD8-9DFB-19C175C62E6E,79,,
09F5C853-7E92-44E5-A94B-A3730105ECA5,474FBD7E-005A-4AA3-A308-A2ED00F4C563,F903AC9E-43CB-44CF-926E-E18F16C3D063,77,,
92BE7CEC-C8B6-4DB0-BEF8-A3730105ECC3,474FBD7E-005A-4AA3-A308-A2ED00F4C563,DBD74641-F6C8-4576-A069-854E71384646,10,,
2FFDDCDD-DF17-4D3A-B138-A3730105ECC8,474FBD7E-005A-4AA3-A308-A2ED00F4C563,9917E0B4-0D7D-4AC2-9A3F-C544CC890F4F,2343,,
5F8C45C5-4E10-4357-9FAD-A3730105ECD2,474FBD7E-005A-4AA3-A308-A2ED00F4C563,219CB341-52CB-4AB3-A9BB-D585175E3FC9,4557,,
AC3417C5-C016-44DC-B2CA-A37600B01BAA,F654963A-9136-417B-B669-B884ECFE99AD,9D294EDA-81C8-4066-BCA7-A37600AF9005,134224,,
B12DA50C-F44F-4B9B-9861-A3770112E17E,474FBD7E-005A-4AA3-A308-A2ED00F4C563,D6A5199D-A691-41DD-9786-C9BDA74EBC65,2135,,
36784506-7786-4A63-A73C-A3770112E189,474FBD7E-005A-4AA3-A308-A2ED00F4C563,CF0E4482-1BE5-4AFF-A6DE-6479F581473C,2133,,
541205D6-406A-4726-A22E-A3770112E190,474FBD7E-005A-4AA3-A308-A2ED00F4C563,ECB242B8-2B7B-4144-8822-C8D6B1638AB5,1214,,
F56A0EEF-1E11-4161-AA55-A3770112E196,474FBD7E-005A-4AA3-A308-A2ED00F4C563,4E0D497B-163E-45C5-A0CA-2454EE763E5D,1208,,
63E46DB1-D2D8-4D21-B37F-A3770112E19D,474FBD7E-005A-4AA3-A308-A2ED00F4C563,C72F7F66-38CC-4ED4-BC92-8F065FAEF89D,1200,,
7B405735-B158-4B87-BEF9-A3770112E1A3,474FBD7E-005A-4AA3-A308-A2ED00F4C563,62C26152-20F2-45D4-AB8A-9C47FDD94EB5,383,,
55A51C22-8552-462B-AEC4-A37801036DFB,09D6CFC0-DD3C-488D-B208-BB197748C5C3,A0F51981-910E-4624-B97A-A3780102615B,96016,,
4E13741B-DB5E-49D5-B017-A37801036E05,09D6CFC0-DD3C-488D-B208-BB197748C5C3,E3419783-9B04-4201-80A1-A31200F03EA9,449,,
E561553F-D053-4B74-A7B9-A379009E16F2,7873AA0D-84B1-4F8E-85BA-59FB581A9454,BE2F7FC5-B572-4D21-8628-F1763C4CBED6,0118,,
B1991DFD-4E88-4CC4-AD42-A37A00BB8372,5819D25F-5F5F-461F-A9B3-1FD0DEB788D9,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,4201,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
1D61224B-9552-4BCF-80A2-A37A011766E4,BEF292BE-270B-4B80-94BB-7E172FA40EED,AD49F218-D80D-4696-9BF1-0BE11B65944D,0011084,,
53922C9B-BB86-44CE-A6FE-A37A011766F2,BEF292BE-270B-4B80-94BB-7E172FA40EED,F632A851-D3A8-467D-AAD6-4ED3154CA6BE,0009427,,
E015C5EA-B98B-4A26-8748-A37A011766FC,BEF292BE-270B-4B80-94BB-7E172FA40EED,2B48FD45-1461-4D15-9173-EAF28C2C8BF2,0009096,,
83A5DFDE-0942-4927-89FF-A37A01176716,BEF292BE-270B-4B80-94BB-7E172FA40EED,489F2998-A1EA-40A1-B983-FCBB1E126A54,0008791,,
91FBC520-A81E-4090-96C3-A37A01176726,BEF292BE-270B-4B80-94BB-7E172FA40EED,2CD3C4C4-9F92-4584-A93C-C640932CBB92,0007979,,
2B8163E5-25DB-43B2-9B6F-A37B00E62B3A,7873AA0D-84B1-4F8E-85BA-59FB581A9454,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0201,,
6D44A2D9-20C5-4869-9272-A37B00E6AA08,5819D25F-5F5F-461F-A9B3-1FD0DEB788D9,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,201,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
330FF22B-2992-4099-9226-A37D01042961,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,6FF85746-5520-423E-BC4E-26AE9BA2B232,004924,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
BEFEFA6B-D91E-427B-B1C9-A37D0104296F,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,7760C34D-D6D1-4A33-9066-885CD5D87A4B,012116,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
3ADEB7D9-B857-4C91-B823-A3800115DA57,BEF292BE-270B-4B80-94BB-7E172FA40EED,1BEF385E-6B4F-42C8-AAFB-C237E7AEC3AD,0012948,,
E73C4DD9-26A9-4BCF-A312-A3800115DA6B,BEF292BE-270B-4B80-94BB-7E172FA40EED,B2FE358B-DE75-455B-A56B-AE2F4C134B9E,0009069,,
EB574A70-0208-4BFF-9109-A3800115DA72,BEF292BE-270B-4B80-94BB-7E172FA40EED,6E9CEB25-D14F-45B2-8EB9-BDD89AA047D2,0001745,,
0DC9DD00-2722-410E-994C-A3800115DA79,BEF292BE-270B-4B80-94BB-7E172FA40EED,570BB672-AC6F-47E3-B097-A2F4012BD955,0009089,,
35E32FFF-B674-4F3F-814D-A3800115DA82,BEF292BE-270B-4B80-94BB-7E172FA40EED,D8D6C7F3-6946-4CD8-BDBA-7BC392C57524,0008919,,
C7B03298-7FBE-467D-BE53-A3800115DA89,BEF292BE-270B-4B80-94BB-7E172FA40EED,04B57A77-0DEC-4A64-8438-E5653B1CC705,0002349,,
4112B310-E50E-42E8-95CE-A3800116F293,BEF292BE-270B-4B80-94BB-7E172FA40EED,7BA8DECC-CB87-40DC-9A54-A2ED00AD3250,0010635,,
C5A1E724-9E8B-46A2-921E-A3800116F29A,BEF292BE-270B-4B80-94BB-7E172FA40EED,D605B20B-3EF9-48AB-821F-15BA1DBB4EB6,0010633,,
A338302B-309B-4284-9321-A3800116F2A0,BEF292BE-270B-4B80-94BB-7E172FA40EED,2621F0DC-3BD5-4E3A-BA84-0E5586ECA9C5,0007985,,
B649F7E1-30A3-42D5-8132-A38200D7439B,7873AA0D-84B1-4F8E-85BA-59FB581A9454,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,0202,,
D608262A-7431-4A33-AB5E-A38200F03A9F,D0F89618-D3C2-4A2C-A1C5-2264C6F6A38F,86017763-6B5A-448B-9ED6-705B6E735FD5,001891,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
8973DEF0-D224-4FD0-93A4-A38200F03AA6,D0F89618-D3C2-4A2C-A1C5-2264C6F6A38F,945EBFED-27D0-426C-9629-37B435D9AF7A,003287,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
A3662C4A-3FB9-4821-A922-A38600FE8382,474FBD7E-005A-4AA3-A308-A2ED00F4C563,B62DE492-F22B-4F05-B897-EADB77852D59,2689,,
81CFEF9B-3027-41F4-98F4-A38600FE8389,474FBD7E-005A-4AA3-A308-A2ED00F4C563,0BB9F427-80F9-4A85-99B3-62A3EFB55FFD,1988,,
9815B101-0F54-4B25-A934-A38600FE83A0,474FBD7E-005A-4AA3-A308-A2ED00F4C563,0B8485D2-5885-4730-8DCE-239A00D0FF0B,22,,
CD033F13-5EB5-49B9-B5EF-A387012D4906,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,6C59F0BC-B147-4932-B297-E5587198EB68,41327,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
DB86A600-FFDD-4FFA-B765-A387012D4927,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,C7F0F0AF-F62D-48AC-BC26-A31700BACE93,424900,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
ECD5D06C-76B8-4705-8A57-A387012D4935,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,6FD4C12A-A7B6-4B56-8ACE-5AF867B93AF0,44432,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
3FAF5DAC-D15C-441B-A3AC-A387012D493B,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,E5C37D5E-0DA6-47BD-9402-774E6E0B9F8E,21500,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
51523BB4-8D7B-44C0-BB3D-A387012D4942,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,38B58BB6-19E8-48AD-9000-C64B5CB431E5,21900,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
7D5FF15E-9268-498F-A2D2-A387012D4951,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,6B75ABE9-B239-4E65-882C-5848FDB21C34,43818,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
A1EB45FD-236D-4803-BBB6-A387012D4957,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,A5775C36-E427-47A5-B6E3-7423C8FA5F3D,41278,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
