PrecoEspecial,Diferenca,Fixo,Id,IdEntidade,IdProduto,IdServico
2,79,0,99,1,FDB3874F-27A5-4B49-92AE-B60C78F57886,4E08B51E-A266-4696-9DEC-0D0D4A18AD8D
2,9,0,99,1,D7757E8D-B6DC-45EA-997D-184CC7436B02,4E08B51E-A266-4696-9DEC-0D0D4A18AD8D
3,8,0,49,1,ECE97E86-B5B5-4BBB-9444-CFB06EA78A0A,4E08B51E-A266-4696-9DEC-0D0D4A18AD8D
2,179,0,2,0,51B37DFF-40B0-476D-8F9B-68BFCCD0D9D0,3E56954C-F0C9-44F9-B846-4F55CA5AFF6F
2,229,0,2,0,6D25840B-4028-4FEF-A691-F78393932B64,3E56954C-F0C9-44F9-B846-4F55CA5AFF6F
0,1,0,1,0,2222C9D5-8FB7-46AF-988E-4DE441FD6410,3E56954C-F0C9-44F9-B846-4F55CA5AFF6F
0,0,0,10,0,9AC1BFC3-E0DB-4DA9-AF27-AF4B00C4EA68,8986E5B2-EF2B-4AA5-97AA-AF0C016D7BD2
0,0,0,38,0,2FFCB819-FCD3-415B-8090-A6E3010A96A1,72967AE6-B32B-451F-8699-A39400B3D6D5
2,719,0,3,0,BC192146-0553-40BE-B6BD-298445E53A47,EF8C54CB-BEDD-44BE-BFC1-A55B00AB6AD7
0,0,0,27,0,0854299E-8E97-45C6-9928-A6E3010A96AC,72967AE6-B32B-451F-8699-A39400B3D6D5
0,0,0,3,0,AFE03187-19B7-40FB-ADEE-A6E3010A96B6,72967AE6-B32B-451F-8699-A39400B3D6D5
0,0,0,4,0,BFF180BE-FB71-492A-AE38-A6E3010A96BF,72967AE6-B32B-451F-8699-A39400B3D6D5
0,0,0,20,0,0C199BE5-A255-456E-815F-A5E500A9EC2C,F468BEF7-37DE-48E0-9C7C-772069CD8B5F
0,0,0,20,0,DDAA8964-5235-4862-A726-A5E500A9EC3A,F468BEF7-37DE-48E0-9C7C-772069CD8B5F
0,0,0,8,0,D69F91ED-6C0C-4F14-8034-A636008C5514,ABE93E60-5CE4-4C84-860E-73E0F2A6F496
0,0,0,8,0,1A5687A2-0E2A-4869-A384-A636008C551D,ABE93E60-5CE4-4C84-860E-73E0F2A6F496
0,0,0,8,0,62B25385-7FDD-4508-8B73-A636008C552B,ABE93E60-5CE4-4C84-860E-73E0F2A6F496
0,0,0,10,0,8D67AF31-EBE3-4BC3-83A8-A72F010A5500,CB35D328-3DAE-4800-B587-A6C9010E3C0E
0,0,0,10,0,9C13EF2B-20A4-4040-A9D8-A72F010A550E,CB35D328-3DAE-4800-B587-A6C9010E3C0E
