Id,IdPosto,DataMovimento,DataGeracao
1F1DE94D-B0D3-44A9-BB29-0C2AF6C2A845,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-31 00:00:00.000,2013-06-01 00:07:56.480
F7F896BB-0680-4702-ACAC-0C52F6D9C1BB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-12-03 00:00:00.000,2013-12-04 00:03:49.360
BE4CBFCB-9491-49F2-8DE3-0CCDD069BFAC,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-21 00:00:00.000,2013-08-22 00:21:42.897
A6E3891E-0FFA-4A52-87B3-0DC0204A231F,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-06-10 00:00:00.000,2013-06-11 00:03:41.557
A154892A-EE3F-4109-89D6-0EB0D203C8AA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-08 00:00:00.000,2013-08-09 00:25:48.420
63CB7816-38E2-4C1B-85C0-0EE7BD18EF03,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-28 00:00:00.000,2013-08-29 00:05:00.810
7E04BB91-FAC2-4B1B-800C-0EE8ADA8B2DB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-28 00:00:00.000,2013-11-29 01:42:44.363
D12007CF-8F5B-4A05-B9D2-0F9BB35DBE1B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-15 00:00:00.000,2013-08-16 00:06:11.317
A6FDD82A-6284-415A-87FE-0FC69EAB7DF1,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-11-04 00:00:00.000,2014-11-05 00:20:16.660
EEABD591-B62D-43FC-8CE8-0FEB3F91D2D9,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-02-26 00:00:00.000,2014-02-27 00:12:17.157
93A4DEC2-5243-43C0-8E15-100F29B7F4A8,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-01 00:00:00.000,2015-01-02 00:23:34.857
EBD68A84-1BE4-471D-82D7-1069DE910216,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-05-06 00:00:00.000,2014-05-07 00:02:59.460
15BD7E93-6482-4E0F-962F-10B64F96D74D,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-09-20 00:00:00.000,2013-09-21 00:12:03.793
DEF6ADA9-F7ED-49D8-931C-1260C25A36E0,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-27 00:00:00.000,2013-05-28 00:10:09.140
F37BD16E-745C-409D-ABD6-12680795E45E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-12 00:00:00.000,2015-01-13 00:34:00.973
39CF5628-1F9E-4177-B6DD-12CA2E6C1E93,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-27 00:00:00.000,2013-11-28 00:04:20.240
0F2E4205-ED12-4BF2-B667-12EE7330A6E7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-13 00:00:00.000,2014-06-14 00:16:28.767
380A6A01-92F2-4015-B328-130E67A816E5,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-12-17 00:00:00.000,2013-12-18 00:04:56.530
A9BCA419-736A-4377-8190-131614F1A5CB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-20 00:00:00.000,2013-07-21 00:08:31.433
D6FF51C1-768E-4DC9-BE62-134DA4B74A81,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-27 00:00:00.000,2014-06-28 00:30:54.030
4F5254AA-526B-4CC6-90B8-135B89420EDF,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-02-08 00:00:00.000,2014-02-09 00:29:20.150
915618CA-B18E-4066-B1E5-148C16E6658C,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-30 00:00:00.000,2013-05-31 00:42:35.647
F7E3E189-33F4-4651-9589-14CF2B36923E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-06-19 00:00:00.000,2013-06-20 00:03:59.600
7C010472-4EF5-428B-9B92-152A024E4045,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-07-29 00:00:00.000,2014-07-30 00:58:31.303

