NumBomba,Encerrante,Ativo,InativoEm,DiferencaPreco,NumeroBomba,Canal,Id,IdPosto,IdTanque,NumeroSerie,Fabricante,Modelo,TipoMedicao,LimiteEncerrante,PrecoDiferenciado,CasasDecPreco
7,1.0,,0,0,6,59,47B04E86-82EC-4C6A-B3FD-9467133FB6C6,5CD12206-6AE1-4F13-AE76-F92BD1657203,8802F3B9-FFF5-4FD8-B46A-FB48D3B93BCC,0600207,STRATEMA,PHX -2220,1.0,1000000.0,0.0,
86,1.0,,0,0,6,18,0240C681-3605-4186-B584-9FF80867575F,5CD12206-6AE1-4F13-AE76-F92BD1657203,8802F3B9-FFF5-4FD8-B46A-FB48D3B93BCC,0600207,STRATEMA,PHX -2220,1.0,1000000.0,0.0,
72,1.0,,0,0,1,0D,74FE3B90-6C89-4AB7-B999-07B3E2E8FE30,FA6A4633-B6CD-4533-A8B9-E40E20325562,9D7D5E31-CF59-4A0F-A668-EE42D9C92CF4,37500319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,5.09,
3,1.0,,0,0,1,0C,214AFCBA-C920-45EA-8AA3-BAA2D0A8289E,FA6A4633-B6CD-4533-A8B9-E40E20325562,9D7D5E31-CF59-4A0F-A668-EE42D9C92CF4,37500319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,6.86,
44,1.0,,0,0,1,0F,A75F28B6-ECFE-4804-8FA7-7D827CA73348,FA6A4633-B6CD-4533-A8B9-E40E20325562,8A84749C-0EFB-44EC-9DDC-68EEFA563F5D,37500319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,0.0,
29,1.0,,0,0,1,0E,6FACD913-F539-4C91-8ADD-110BE10DECFA,FA6A4633-B6CD-4533-A8B9-E40E20325562,8A84749C-0EFB-44EC-9DDC-68EEFA563F5D,37500319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,5.11,
8,1.0,,0,0,2,09,18F8D3DA-B63D-4B17-B088-32FA27119C40,FA6A4633-B6CD-4533-A8B9-E40E20325562,9D7D5E31-CF59-4A0F-A668-EE42D9C92CF4,36600319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,3.769,
26,1.0,,0,0,2,08,83B57244-DB97-4705-90D6-EB3882830C52,FA6A4633-B6CD-4533-A8B9-E40E20325562,9D7D5E31-CF59-4A0F-A668-EE42D9C92CF4,36600319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,0.0,
8,1.0,,0,0,2,0B,582FCA1B-5DC3-40CA-9E9E-2A82E7CDF2D0,FA6A4633-B6CD-4533-A8B9-E40E20325562,D9AC7652-0883-4DA9-B97A-AA19B5CA6E14,36600319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,0.0,
26,1.0,,0,0,2,0A,550FC4E0-9CF9-4FD5-891F-E59621656DB0,FA6A4633-B6CD-4533-A8B9-E40E20325562,0C37FD67-8F75-408C-8267-C06F0092D77C,36600319,VEEDER-ROOT DO BRASIL,PMD-2422,1.0,1000000.0,0.0,
29,1.0,,0,0,1,20,B1AA81CE-0BD5-434E-B7FE-C338B8CDFFC8,6604EF36-5513-445C-86CF-A6F7C15CD5DE,BBA0D4A1-6023-4CEC-808A-7509DF436D65,16500615,STRATEMA,PHX - 2220,1.0,1000000.0,0.0,3.0
7,1.0,,0,0,1,21,EE3B3569-8944-400B-A761-B2CB65E6091D,6604EF36-5513-445C-86CF-A6F7C15CD5DE,C70FE50E-8ECA-4E1D-9F25-6F41567920A2,16500615,STRATEMA,PHX - 2220,1.0,1000000.0,0.0,3.0
48,1.0,,0,0,2,26,E521C3BF-65B6-41DB-B3A7-DD76B16C64FD,6604EF36-5513-445C-86CF-A6F7C15CD5DE,BBA0D4A1-6023-4CEC-808A-7509DF436D65,16490615,STRATEMA,PHX - 2220,1.0,1000000.0,0.0,3.0
32,1.0,,0,0,2,27,AC99E825-FFA1-4774-A391-9D3D8B065070,6604EF36-5513-445C-86CF-A6F7C15CD5DE,C70FE50E-8ECA-4E1D-9F25-6F41567920A2,16490615,STRATEMA,PHX - 2220,1.0,1000000.0,0.0,3.0
