TCaixa,Dia,DataAbertura,DataFechamento,PodeFechar,PrimeiroAcesso,Id,IdPosto,IdEntidade,Troco,IdPontoVenda
1,2013-01-29 00:00:00,2013-01-28 14:27:26.000,2013-01-28 21:33:15.000,1,0,06B12B8A-9F52-4B5B-88A6-9DF958F6D1CD,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-01-29 00:00:00,2013-01-28 21:33:15.000,2013-01-29 05:36:15.000,1,0,7FDB3343-0373-4D1A-A91B-5B4AD472F118,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-05-30 00:00:00,2012-05-29 22:02:26.000,2012-05-30 05:29:45.000,1,0,F46AD06D-4C38-4852-B464-2ED491621001,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2012-05-30 00:00:00,2012-05-30 05:29:45.000,2012-05-30 13:47:23.000,1,0,6922106B-21C7-4E1E-ADA7-D465E9DDD2A4,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-01-29 00:00:00,2013-01-29 05:36:15.000,2013-01-29 13:36:04.000,1,0,94FB0E86-699E-4C5F-847E-FCD824BBF158,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2012-05-31 00:00:00,2012-05-30 13:47:23.000,2012-05-30 21:30:08.000,1,0,0F4FC16D-6FBE-4CF2-9157-CA479456C6BA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CE56837A-79FC-40BD-9649-3B4102E6C965,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-01-30 00:00:00,2013-01-30 05:52:44.000,2013-01-30 13:31:29.000,1,0,2CDB92DE-923B-42FA-A661-9FD417882A44,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-01-31 00:00:00,2013-01-30 22:03:47.000,2013-01-31 06:05:30.000,1,0,3D7774E4-683E-4F58-BDEB-7B59A0BCDEF6,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-02 00:00:00,2013-02-01 13:38:39.000,2013-02-01 22:02:42.000,1,0,79EE3532-6895-4447-A49D-99B6A8929206,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-02 00:00:00,2013-02-01 22:02:42.000,2013-02-02 05:40:14.000,1,0,D458F02F-7D9D-4FEB-9D21-78DBE570DF7A,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
